game_dates,pitcher_hm,pitcher_aw,hitman_hm_1,hitman_hm_2,hitman_hm_3,hitman_hm_4,hitman_hm_5,hitman_hm_6,hitman_hm_7,hitman_hm_8,hitman_hm_9,hitman_aw_1,hitman_aw_2,hitman_aw_3,hitman_aw_4,hitman_aw_5,hitman_aw_6,hitman_aw_7,hitman_aw_8,hitman_aw_9,winner,gameId,homeTeamCode,awayTeamCode,hm_R,hm_h,hm_e,hm_b,aw_R,aw_h,aw_e,aw_b
20180403,70425,62528,74163,62797,76753,68730,75808,62700,60100,78756,78288,77532,76509,76249,71564,77463,67598,68525,62556,61591,HOME,20180403LTHH02018,HH,LT,17,11,2,9,11,15,2,6
20180403,65933,68400,62907,62931,62947,71552,78813,74465,73339,62934,76720,62415,61404,62404,67450,75566,74540,79465,72466,79402,HOME,20180403SSNC02018,NC,SS,4,8,2,1,3,11,0,6
20180404,62869,79617,61869,62884,75847,67872,66838,75151,76158,62802,76812,76849,67650,70410,72443,78629,79608,70756,66606,62864,AWAY,20180404HTSK02018,SK,HT,6,7,1,4,9,19,0,2
20180404,62363,64029,67341,61353,64300,75125,67394,64346,77564,67304,62332,60558,68050,67025,76313,99810,74215,73113,60343,70553,HOME,20180404KTWO02018,WO,KT,10,12,0,3,2,5,0,1
20180404,77211,61101,79240,76267,79215,76232,75334,77248,68244,61208,74206,65115,76290,72133,68103,61186,78217,79109,61102,63123,HOME,20180404LGOB02018,OB,LG,6,10,0,7,3,12,0,1
20180404,73738,77591,74163,62797,76753,68730,75808,62700,60100,78756,78288,77532,76509,76249,71564,77463,67598,68525,62556,61591,HOME,20180404LTHH02018,HH,LT,7,10,1,8,6,12,1,4
20180404,60263,68415,62907,62934,62947,67935,78813,74465,63963,73306,76720,62415,61404,62404,67450,75566,74540,79465,64610,79402,HOME,20180404SSNC02018,NC,SS,4,9,1,3,1,4,0,4
20180405,65742,66047,67341,61353,64300,75125,67394,79334,77564,67304,62332,64006,73113,67025,76313,74339,74215,60343,60558,70553,HOME,20180405KTWO02018,WO,KT,4,7,0,5,3,6,0,2
20180405,68948,77446,62907,62934,62947,67935,78813,74465,62925,73306,67944,79465,61404,75566,67450,74540,72466,62404,64610,79402,AWAY,20180405SSNC02018,NC,SS,1,7,1,1,4,13,1,1
20180406,68526,68135,76509,77532,76249,71564,77463,67598,68525,62556,67539,65115,76290,72133,68103,79192,64153,79109,61102,63123,AWAY,20180406LGLT02018,LT,LG,6,9,0,5,14,14,1,9
20180406,66643,65320,76849,67650,70410,72443,78629,79608,70756,62864,78603,67341,64346,61353,75125,67394,77564,67304,79300,66354,HOME,20180406WOHT02018,HT,WO,11,16,1,7,5,13,1,0
20180407,68815,74454,63704,61869,75847,67872,66838,62895,73209,62884,76812,79465,62415,75566,67450,74540,61404,62409,64610,79402,HOME,20180407SSSK02018,SK,SS,4,7,3,5,3,9,1,1
20180407,77637,67313,76849,66606,70410,72443,78629,79608,61743,62908,78643,67341,64346,64300,75125,67394,77564,65399,67304,66354,HOME,20180407WOHT02018,HT,WO,5,9,0,3,1,10,1,3
20180407,67588,76455,78513,61204,77532,71564,76249,76509,67598,62556,67539,65115,76290,72133,68103,79192,61102,79109,64153,63123,HOME,20180407LGLT02018,LT,LG,7,13,0,7,2,9,0,5
20180407,65543,68953,61208,79240,79215,78224,75334,74206,77248,68244,63202,62907,62931,62947,67935,74465,71552,73339,62934,67944,HOME,20180407NCOB02018,OB,NC,6,7,1,9,3,8,1,2
20180407,65331,68748,67005,68050,67025,76313,99810,74215,73113,78548,70553,74163,62797,76753,68730,75808,62700,78756,74729,64717,HOME,20180407HHKT02018,KT,HH,10,10,1,11,2,8,1,1
20180408,64001,68742,63450,73113,67025,76313,74339,74215,60343,60558,64006,74163,75808,76753,68730,73136,62700,78288,78756,66706,AWAY,20180408HHKT02018,KT,HH,8,10,2,7,12,14,0,7
20180408,65546,62698,78513,61204,77532,71564,76249,76509,67598,62556,61591,65115,76290,72133,68103,79192,61102,79109,64153,63123,AWAY,20180408LGLT02018,LT,LG,2,7,1,1,4,7,4,4
20180408,74513,62966,61208,79240,79215,78224,75334,74206,77248,68244,63202,62907,60566,62947,67935,74465,78813,62931,62934,76720,HOME,20180408NCOB02018,OB,NC,11,14,0,12,10,13,2,4
20180408,77829,68435,63704,61869,75847,67872,62895,75151,62884,76812,62802,61404,64610,75566,67450,74540,79465,62409,61197,79402,AWAY,20180408SSSK02018,SK,SS,4,10,2,4,12,11,0,8
20180408,67645,62937,76849,67650,70410,72443,79608,73606,66606,62864,78603,67341,61353,64300,75125,67394,77564,64346,67304,62332,HOME,20180408WOHT02018,HT,WO,4,9,0,0,3,13,0,2
20180410,66741,61666,74163,62797,75808,68730,73136,62700,74729,78756,78288,76849,67650,70410,72443,79608,73606,99606,62864,78603,HOME,20180410HTHH02018,HH,HT,4,7,0,6,3,8,0,1
20180410,60263,75258,60566,62934,62947,67935,74465,78813,73339,73213,76720,63450,68050,67025,76313,74339,74215,73113,78548,60558,AWAY,20180410KTNC02018,NC,KT,4,5,1,3,5,8,1,1
20180410,68400,68240,61404,62415,75566,67450,74540,79465,64266,64610,79402,61208,76267,79215,78224,76232,75334,74206,77248,79240,AWAY,20180410OBSS02018,SS,OB,1,4,4,1,8,12,0,2
20180410,61101,60841,65115,76290,72133,68103,79192,61102,79109,64153,63123,63704,73209,67872,66838,62895,76158,62884,76812,76802,AWAY,20180410SKLG02018,LG,SK,1,6,1,4,4,12,2,5
20180410,62528,62363,76509,77532,77463,71564,76100,67598,62556,68525,67539,67341,64346,64300,75125,67394,61353,79334,67304,79365,HOME,20180410WOLT02018,LT,WO,4,11,0,4,3,6,1,7
20180411,77591,65742,76509,77532,77463,76100,78513,67598,62556,68525,61591,67341,64346,64300,75125,67394,61353,79334,67304,79365,HOME,20180411WOLT02018,LT,WO,12,17,0,5,0,2,0,1
20180411,66145,62869,65115,76290,72133,68103,61186,61102,79109,64153,63123,61869,62884,75847,67872,66838,62895,76158,73209,76812,HOME,20180411SKLG02018,LG,SK,3,7,0,1,0,3,0,2
20180411,68415,79229,62415,79402,75566,67450,74540,79465,61404,61197,64610,61208,76267,79215,78224,76232,75334,74206,65269,79240,AWAY,20180411OBSS02018,SS,OB,6,14,1,2,7,10,0,6
20180411,73750,79617,74163,62797,76753,68730,73136,75808,62700,78756,78288,76849,67650,70410,72443,78629,79608,66606,62864,78603,HOME,20180411HTHH02018,HH,HT,6,11,1,5,4,7,1,3
20180411,68948,61240,62907,62934,78813,71552,74465,62947,62925,62931,67944,64006,68050,67025,74215,74339,76313,73113,60343,70553,AWAY,20180411KTNC02018,NC,KT,4,7,3,2,12,21,0,4
20180412,68748,66643,74163,62797,76753,68730,73136,75808,62700,78756,64717,76849,67650,70410,72443,78629,79608,66606,62864,78603,HOME,20180412HTHH02018,HH,HT,15,17,0,4,4,7,1,3
20180412,66960,66047,62907,62934,62931,62947,67935,78813,62925,73213,76720,64006,68050,67025,74215,74339,76313,73113,60343,60558,AWAY,20180412KTNC02018,NC,KT,2,6,1,2,7,13,3,3
20180412,77446,77211,62415,79402,75566,67450,74540,79465,61404,79456,64610,61208,79240,79215,78224,76232,75334,74206,65269,79530,AWAY,20180412OBSS02018,SS,OB,3,7,0,5,9,17,0,1
20180412,68135,79847,65115,76290,72133,68103,79192,61102,79109,64153,63123,61869,62884,75847,67872,66838,62895,76158,62802,76812,HOME,20180412SKLG02018,LG,SK,5,9,1,3,4,7,2,2
20180412,68526,65320,78513,77532,77463,71564,76100,67598,62556,72546,61591,64300,67341,67394,75125,76746,79334,79365,79300,64346,AWAY,20180412WOLT02018,LT,WO,3,9,0,3,5,9,0,4
20180413,67313,65543,67341,61353,64300,75125,67394,76746,79334,67304,62332,61208,76267,79215,78224,76232,75334,74206,65269,79240,AWAY,20180413OBWO02018,WO,OB,0,2,1,1,12,12,0,9
20180413,76455,65331,65115,76290,72133,68103,79192,61102,79109,64153,63123,64006,68050,67025,74215,74339,76313,73113,78548,60558,HOME,20180413KTLG02018,LG,KT,3,3,0,2,1,5,1,4
20180413,77637,67588,76849,67650,70410,72443,78629,78603,66606,62864,62908,78513,61204,77532,71564,76249,76100,67598,62556,67539,AWAY,20180413LTHT02018,HT,LT,4,4,0,3,8,11,3,5
20180413,68815,68953,61869,62884,75847,67872,66838,76158,75151,73209,76812,62907,73339,62931,62947,74465,67935,78813,62934,76720,HOME,20180413NCSK02018,SK,NC,4,10,2,6,2,7,0,1
20180413,68742,61365,74163,62797,76753,68730,73136,75808,62700,78756,78288,61404,79402,75566,67450,74540,79465,72466,62409,64610,AWAY,20180413SSHH02018,HH,SS,2,5,3,3,4,11,1,2
20180414,62937,74513,67341,73342,67394,64300,76746,77564,79334,79365,79300,61208,76267,79215,78224,76232,75334,77248,79290,62234,HOME,20180414OBWO02018,WO,OB,7,10,0,3,6,9,0,0
20180414,70425,74454,74163,62797,76753,68730,73136,75808,62700,78756,78288,61404,79402,75566,67450,79465,74540,71432,62409,64610,HOME,20180414SSHH02018,HH,SS,14,17,0,3,2,6,1,6
20180414,65856,65933,63704,73209,75847,67872,76158,66838,76812,62884,75151,62907,62934,62947,67935,74465,71552,62931,62925,76720,HOME,20180414NCSK02018,SK,NC,7,12,0,3,0,3,0,2
20180414,62698,64001,65115,76290,72133,68103,79192,64153,79109,71842,63123,99810,68050,74339,74215,67025,76313,73113,60343,64006,HOME,20180414KTLG02018,LG,KT,8,13,0,1,0,6,2,3
20180415,61101,75258,65115,76290,72133,68103,79192,61102,79109,64153,63123,99810,68050,67025,74215,74339,76313,73113,60343,70553,HOME,20180415KTLG02018,LG,KT,11,16,0,4,8,13,1,6
20180415,77829,60263,63704,62895,75847,67872,76158,76812,75151,62802,76802,62907,62934,62947,67935,74465,78813,62931,62925,76720,HOME,20180415NCSK02018,SK,NC,3,12,0,1,2,12,0,4
20180415,62363,68240,67341,73342,67394,64300,79334,77564,64346,79365,79300,61208,76267,79215,78224,75334,77248,62244,74206,62234,AWAY,20180415OBWO02018,WO,OB,2,4,0,7,3,8,0,5
20180415,66741,68435,74163,62797,76753,68730,73136,75808,79705,78756,78288,79402,64610,75566,67450,79465,61404,62415,62409,79456,HOME,20180415SSHH02018,HH,SS,7,10,0,7,4,11,1,2
20180417,61240,60841,99810,68050,67025,74215,74339,76313,73113,60343,64006,63704,62884,75847,67872,62895,66838,61869,76812,62802,AWAY,20180417SKKT02018,KT,SK,5,11,1,5,9,17,1,5
20180417,79229,73750,61208,76267,79215,78224,76232,75334,77248,74206,62234,74163,62797,76753,68730,73136,75808,62700,79705,78288,AWAY,20180417HHOB02018,OB,HH,2,7,0,1,5,12,0,3
20180417,67645,66145,76849,67650,79608,72443,70410,66606,78629,62864,78603,65115,76290,72133,68103,79192,61102,79109,64153,63123,HOME,20180417LGHT02018,HT,LG,5,11,2,6,4,8,1,6
