idx,code,era,kpit,kbb,wpa,re24,whip
000211,73738,5.86,0.044,3.0,0.01,0.31,1.576
000212,73750,5.89,0.052,2.7,-0.126,-1.21,1.607
000213,73801,4.4,0.031,1.5,0.007,0.56,1.57
000214,74454,5.76,0.035,1.878,-0.126,-0.495,1.637
000215,74513,10.05,0.034,1.278,-0.152,-1.23,2.093
000216,74838,4.86,0.053,5.625,0.001,0.56,1.286
000217,75258,5.32,0.028,1.129,-0.089,-0.18,1.809
000218,75340,3.39,0.045,2.556,0.006,0.385,1.387
000219,75620,6.64,0.042,2.636,0.018,-0.03,1.672
000220,76225,4.46,0.039,1.593,0.0,0.47,1.59
000221,76355,6.88,0.033,1.826,-0.003,-0.69,1.722
000222,76455,5.07,0.045,1.876,0.006,0.33,1.519
000223,76610,6.69,0.041,2.5,0.003,0.11,1.821
000224,77211,3.83,0.044,2.367,0.007,0.56,1.441
000225,77318,5.42,0.046,1.506,-0.024,-0.235,1.749
000226,77446,4.2,0.04,2.009,-0.023,0.33,1.414
000227,77591,6.15,0.047,1.943,-0.047,-0.23,1.671
000228,77637,3.73,0.053,3.162,0.044,0.89,1.324
000229,77829,2.76,0.058,3.423,0.108,1.33,1.223
000230,77927,5.73,0.037,1.387,0.004,0.56,1.818
000231,78148,4.19,0.037,2.258,0.022,0.58,1.406
000232,78517,6.05,0.034,0.963,0.003,0.56,1.632
000233,78536,3.1,0.054,1.654,0.003,0.56,1.561
000234,79229,5.31,0.026,1.514,-0.106,-0.67,1.655
000235,79764,4.81,0.043,2.508,-0.0,0.525,1.475
000236,79847,4.96,0.053,1.812,0.006,0.56,1.497
000237,95657,5.48,0.054,2.897,0.031,0.5,1.552
000238,99563,5.76,0.044,3.5,-0.002,0.03,1.522
