idx,code,year,era,kpit,kbb,wpa,re24,whip
000281,67313,2021,2.95,0.052,1.885,0.096,0.83,1.295
000282,67391,2020,4.68,0.049,2.217,0.01,0.56,1.508
000283,67539,2021,6.41,0.031,1.125,-0.031,-0.45,1.856
000284,67539,2022,3.98,0.063,3.324,0.01,0.56,1.411
000285,67539,2023,3.23,0.049,2.517,0.014,1.11,1.37
000286,67588,2018,6.39,0.064,1.806,-0.003,-0.34,1.776
000287,67603,2018,5.16,0.047,1.552,0.0,0.23,1.605
000288,67603,2019,4.42,0.041,1.544,-0.02,0.33,1.489
000289,67603,2020,5.08,0.038,1.825,-0.022,0.32,1.492
000290,67603,2021,5.59,0.044,1.194,0.003,0.56,1.903
000291,67645,2018,6.35,0.046,3.778,0.009,0.11,1.611
000292,67828,2018,6.19,0.053,2.143,0.0,0.11,1.812
000293,68043,2018,5.06,0.037,1.0,-0.03,0.22,1.902
000294,68043,2019,4.96,0.039,1.4,-0.086,-0.12,1.619
000295,68043,2020,6.54,0.041,1.103,0.002,0.22,1.875
000296,68135,2018,3.07,0.057,4.257,0.095,1.33,1.176
000297,68135,2019,2.8,0.05,3.2,0.112,1.89,1.218
000298,68135,2020,4.56,0.046,2.595,-0.008,0.33,1.453
000299,68200,2020,4.13,0.052,2.44,0.004,0.56,1.332
000300,68200,2021,5.82,0.037,1.344,0.004,0.56,1.677
000301,68220,2021,4.14,0.051,1.282,-0.015,0.61,1.673
000302,68220,2022,3.78,0.054,2.3,0.024,0.86,1.456
000303,68220,2023,2.16,0.044,1.484,0.165,1.33,1.152
000304,68240,2018,3.55,0.054,2.638,0.081,1.33,1.3
000305,68240,2019,3.43,0.052,3.324,0.037,0.83,1.297
000306,68249,2022,6.71,0.032,0.95,0.0,-0.01,2.092
000307,68341,2018,5.53,0.064,2.0,-0.002,0.065,1.649
000308,68341,2019,5.23,0.055,2.2,-0.021,-0.61,1.542
000309,68341,2021,3.24,0.06,2.767,0.059,0.97,1.254
