idx,code,name,position
000393,50234,플렉센,pit
000394,50640,가뇽,pit
000395,50030,소형준,pit
000396,63435,김성표,hit
000397,63634,이홍구,hit
000398,64100,박재욱,hit
000399,69839,백승건,pit
000400,64704,노태형,hit
000401,50126,이민호,pit
000402,68305,변상권,hit
000403,64861,이건욱,pit
000404,50449,허윤동,pit
000405,50524,샘슨,pit
000406,60264,정대현,pit
000407,65653,김호령,hit
000408,50054,천성호,hit
000409,68204,권민석,hit
000410,69403,양우현,hit
000411,65506,김재유,hit
000412,50709,박정현,hit
000413,50707,최인호,hit
000414,66707,박상언,hit
000415,69705,조한민,hit
000416,50296,조제영,pit
000417,66113,김호은,hit
000418,50464,이승민,pit
000419,63292,박소준,pit
000420,67954,김진호,pit
000421,66203,서예일,hit
000422,67045,조병욱,pit
000423,50157,김윤식,pit
000424,78536,김대우,pit
000425,64890,유서준,hit
000426,67391,김재웅,pit
000427,65503,김지수,hit
000428,50819,이거연,hit
000429,50704,임종찬,hit
000430,50730,반즈,hit
000431,64209,정기훈,hit
000432,50350,러셀,hit
000433,64213,최용제,hit
000434,50600,홍종표,hit
000435,65362,송우현,hit
000436,68200,김민규,pit
000437,50469,팔카,hit
000438,50802,화이트,hit
000439,50848,김성민,hit
000440,69399,윤정현,pit
000441,63248,함덕주,pit
000442,63960,이상민,pit
000443,69804,채현우,hit
000444,63950,장현식,pit
000445,50868,류효승,hit
000446,69516,김현수,pit
000447,65639,박정수,pit
000448,77927,장필준,pit
000449,69104,남호,pit
000450,63103,류원석,pit
000451,50706,장웅정,pit
000452,64718,최영환,pit
000453,69703,오동욱,pit
000454,69706,허관회,hit
000455,51004,알몬테,hit
000456,51722,카펜터,pit
000457,51725,힐리,hit
000458,51967,파슨스,pit
000459,51324,프레이타스,hit
000460,51516,김진욱,pit
000461,51257,미란다,pit
000462,65514,강태율,hit
000463,51203,안재석,hit
000464,51619,멩덴,pit
000465,51868,고명준,hit
000466,51551,나승엽,hit
000467,51334,스미스,pit
000468,51136,수아레즈,pit
000469,51234,로켓,pit
000470,50167,이주형,hit
000471,51567,프랑코,pit
000472,51834,르위키,pit
000473,66162,김주성,hit
000474,64101,한석현,hit
000475,51863,폰트,pit
000476,69168,이상영,pit
000477,61295,강동연,pit
000478,66660,남재현,pit
000479,51003,권동진,hit
000480,68507,장두성,hit
000481,67609,박정우,hit
000482,63894,김정빈,pit
000483,51761,배동현,pit
000484,50202,안권수,hit
000485,51560,이주찬,hit
000486,68797,이승관,pit
000487,66749,김주현,hit
000488,51100,이영빈,hit
000489,65040,김태훈,hit
000490,63464,윤대경,pit
000491,64498,구준범,pit
000492,51715,김기중,pit
000493,50813,양선률,pit
000494,50365,문찬종,hit
000495,68619,윤중현,pit
000496,50657,박민,hit
000497,50650,최용준,pit
000498,64017,심재민,pit
000499,51302,이주형,hit
000500,51005,김건형,hit
000501,79358,강윤구,pit
000502,51706,장지승,hit
000503,51833,가빌리오,pit
000504,69366,이명기,hit
000505,51439,몽고메리,pit
000506,50304,김병휘,hit
000507,68856,최민준,pit
000508,51640,권혁경,hit
000509,51144,보어,hit
000510,50360,김동혁,pit
000511,50992,김태경,pit
000512,51309,크레익,hit
000513,50905,강태경,pit
000514,51460,이재희,pit
000515,51714,페레즈,hit
000516,68909,최보성,hit
000517,68700,이원석,hit
000518,69810,김규남,hit
000519,69974,배민서,pit
000520,51867,김건우,pit
000521,67807,이정범,hit
000522,50720,남지민,pit
000523,51897,조병현,pit
000524,51636,다카하시,pit
000525,51762,장규현,hit
000526,51264,최승용,pit
000527,51767,송호정,hit
000528,69113,임준형,pit
000529,51764,정민규,hit
000530,67610,김석환,hit
000531,50204,박지훈,hit
000532,67246,김명신,pit
000533,52712,터크먼,hit
000534,52904,마티니,hit
000535,52112,루이즈,hit
000536,52025,라모스,hit
000537,52308,애플러,pit
000538,52366,푸이그,hit
000539,52827,크론,hit
000540,52526,피터스,hit
000541,50208,오명진,hit
000542,67363,이병규,hit
000543,52516,조세진,hit
000544,52667,윤도현,hit
000545,50902,김한별,hit
000546,68706,이성원,hit
000547,68110,송찬의,hit
000548,52234,스탁,pit
000549,52645,로니,pit
000550,52833,노바,pit
000551,52063,이상우,hit
000552,52001,안현민,hit
000553,68466,이태훈,hit
000554,66833,임석진,hit
000555,51307,이재홍,hit
000556,52704,이상혁,hit
000557,51305,양경식,hit
000558,69813,하재훈,hit
000559,50556,최준용,hit
000560,52637,놀린,pit
000561,51996,오태양,hit
000562,52424,김재혁,hit
000563,68249,박신지,pit
000564,52557,스파크맨,pit
000565,52764,허인서,hit
000566,68928,김시훈,pit
000567,67760,원혁재,hit
000568,68805,최상민,hit
000569,51013,유준규,hit
000570,67202,박유연,hit
000571,51269,강현구,hit
000572,52769,권광민,hit
000573,52568,한태양,hit
000574,69416,이해승,hit
000575,52804,석정우,hit
000576,50820,전의산,hit
000577,51948,이용준,pit
000578,52809,전영준,pit
000579,69500,김민수,hit
000580,52707,라미레즈,pit
000581,51303,김시앙,hit
000582,52125,가르시아,hit
000583,52806,라가레스,hit
000584,69207,김태근,hit
000585,68002,양승혁,hit
000586,52808,모리만도,pit
000587,52530,이민석,pit
000588,69203,송승환,hit
000589,52950,더모디,pit
000590,52330,주승우,pit
000591,52430,김영웅,hit
000592,52705,유상빈,hit
000593,69428,이병헌,hit
000594,52731,박준영,pit
000595,51865,조형우,hit
000596,66112,김기연,hit
000597,51143,강효종,pit
000598,53712,오그레디,hit
000599,69064,강민성,hit
