backnum,playerName,playerCode,birth,info
15,화이트,50802,19901029,-
48,김성민,50848,20010430,-
99,윤정현,69399,19930517,P_WO
53,함덕주,63248,19950113,-
68,이상민,63960,19901104,-
56,채현우,69804,19951121,-
50,장현식,63950,19950224,-
68,류효승,50868,19960716,-
56,김현수,69516,20000710,-
45,박정수,65639,19960129,-
26,장필준,77927,19880408,P_SS
35,남호,69104,20000720,-
39,류원석,63103,19891118,-
48,장웅정,50706,19970411,-
45,최영환,64718,19920220,P_LT
31,오동욱,69703,20010201,-
26,허관회,69706,19990212,H_HH
4,알몬테,51004,19890610,-
22,카펜터,51722,19900822,-
25,힐리,51725,19920110,-
6,파슨스,51967,19920906,-
24,프레이타스,51324,19890318,-
15,김진욱,51516,20020705,P_LT
57,미란다,51257,19890110,-
32,강태율,65514,19961101,H_LT
3,안재석,51203,20020215,H_OB
15,멩덴,51619,19930219,-
12,고명준,51868,20020708,H_SK
31,나승엽,51551,20020215,-
34,스미스,51334,19870807,-
36,수아레즈,51136,19920911,-
34,로켓,51234,19940503,-
53,이주형,50167,20010402,H_LG
67,프랑코,51567,19921229,-
34,르위키,51834,19920408,-
62,김주성,66162,19980130,-
46,한석현,64101,19940517,H_NC
63,폰트,51863,19900524,P_SK
55,이상영,69168,20001203,P_LG
21,강동연,61295,19921218,-
26,남재현,66660,19960913,-
3,권동진,51003,19980912,H_KT
49,장두성,68507,19990916,H_LT
0,박정우,67609,19980201,-
21,김정빈,63894,19940608,-
61,배동현,51761,19980316,-
0,안권수,50202,19930419,H_LT
60,이주찬,51560,19980921,-
48,이승관,68797,19991201,-
50,김주현,66749,19931221,-
0,이영빈,51100,20020617,H_LG
24,김태훈,65040,19960331,H_SS
5,윤대경,63464,19940409,-
19,구준범,64498,19950318,-
15,김기중,51715,20021116,P_HH
46,양선률,50813,19970415,-
22,문찬종,50365,19910323,-
19,윤중현,68619,19950425,-
57,박민,50657,20010605,-
69,최용준,50650,20011219,-
34,심재민,64017,19940218,-
