idx,code,year,date,result,startup,ip,run,er,bf,ab,hit,second,third,homerun,bb,ibb,hbp,k,pit,whip,avg,obp,ops,era,avli,re24,wpa,gsc,decision,itv
000059,66643,2018,06-22,W 8:5,1,7.0,4,4,30,28,7,1,0,2,1,0,1,6,109,1.37,0.298,0.3,0.8,4.35,0.66,-0.12,0.109,52,W,5
000060,66643,2018,06-29,W 7:4,1,7.0,4,4,31,29,9,0,0,0,2,0,0,4,108,1.39,0.299,0.36,0.66,4.41,0.65,-0.31,-0.135,45,-,7
000061,66643,2018,07-05,L 2:8,1,6.2,5,5,29,26,9,0,0,0,1,0,0,4,111,1.39,0.302,0.37,0.72,4.56,1.01,-1.65,-0.24,39,L,6
000062,66643,2018,07-11,L 1:5,1,6.2,4,1,29,25,7,1,0,0,2,1,0,12,107,1.39,0.3,0.32,0.64,4.36,1.11,-0.75,-0.022,60,L,6
000063,66643,2018,07-18,L 1:7,1,5.0,6,6,26,25,10,1,0,2,0,0,0,1,93,1.42,0.306,0.4,1.08,4.64,0.83,-3.23,-0.321,24,L,7
000064,66643,2018,07-24,L 0:5,1,4.0,5,2,23,21,8,0,0,2,2,0,0,6,102,1.45,0.309,0.44,1.1,4.64,0.72,-2.78,-0.251,36,L,6
000065,66643,2018,08-07,L 1:9,1,6.0,3,3,27,27,11,4,0,1,0,0,0,7,104,1.47,0.314,0.41,1.07,4.63,1.12,0.33,-0.1,45,L,7+
000066,66643,2018,08-12,W 21:8,1,6.0,3,3,23,22,4,0,0,1,1,0,0,3,79,1.44,0.309,0.22,0.54,4.63,0.04,0.33,0.012,54,W,5
000067,66643,2018,09-04,W 10:5,1,6.0,3,3,27,25,7,2,0,0,2,1,0,4,105,1.44,0.308,0.33,0.69,4.62,0.82,0.33,-0.079,48,-,7+
000068,66643,2018,09-09,L 5:6,1,5.0,6,6,25,23,8,0,0,1,2,0,0,6,112,1.46,0.309,0.4,0.88,4.84,0.97,-3.23,-0.362,31,L,5
000069,66643,2018,09-16,W 7:6,1,6.0,3,2,26,24,7,1,0,2,2,0,0,4,100,1.47,0.308,0.35,0.93,4.76,1.21,0.33,-0.002,50,-,7
000070,66643,2018,09-22,W 11:5,1,6.0,3,3,21,20,4,0,0,1,1,0,0,3,102,1.44,0.305,0.24,0.59,4.75,0.36,0.33,0.094,54,W,6
000071,66643,2018,09-28,W 6:2,1,6.0,2,2,26,24,7,0,0,0,1,0,0,6,110,1.44,0.304,0.31,0.6,4.69,1.18,1.33,0.128,55,-,6
000072,66643,2018,10-06,W 8:4,1,7.0,3,2,30,26,6,0,0,1,3,0,1,5,112,1.43,0.302,0.33,0.68,4.6,1.2,0.89,0.003,57,W,7+
000073,66643,2018,10-11,L 0:4,1,7.2,4,4,30,28,6,2,0,1,1,0,0,4,106,1.41,0.298,0.24,0.63,4.6,0.97,0.32,0.035,54,L,5
000074,65331,2018,03-24,W 5:4,1,5.0,2,2,25,22,8,1,0,0,1,0,1,5,100,1.8,0.364,0.42,0.83,3.6,1.2,0.78,0.021,47,-,7+
000075,65331,2018,03-30,L 2:6,1,5.0,3,3,25,20,6,1,0,1,4,0,0,6,91,1.9,0.333,0.42,0.92,4.5,1.11,-0.23,-0.115,45,L,6
000076,65331,2018,04-07,W 10:2,1,7.0,2,2,26,25,5,2,0,0,1,0,0,7,94,1.47,0.284,0.23,0.51,3.71,1.02,1.89,0.249,65,W,7+
000077,65331,2018,04-13,L 1:3,1,8.0,3,3,30,27,3,0,0,1,1,0,1,6,102,1.16,0.234,0.17,0.4,3.6,1.01,1.44,-0.077,69,L CG,6
000078,65331,2018,04-19,L 5:6,1,7.0,4,3,28,27,4,0,0,2,1,0,0,9,104,1.06,0.215,0.18,0.55,3.66,0.75,-0.12,-0.086,63,-,6
000079,65331,2018,04-25,L 4:5,1,6.0,4,4,30,27,10,1,0,1,1,0,1,4,110,1.18,0.243,0.41,0.93,4.03,1.45,-0.67,-0.224,39,-,6
000080,65331,2018,05-01,L 2:4,1,4.0,4,4,23,21,9,2,0,2,1,0,1,5,88,1.31,0.266,0.48,1.29,4.5,1.02,-1.78,-0.249,32,L,6
000081,65331,2018,05-31,L 0:6,1,6.0,4,3,25,24,8,1,0,0,0,0,0,4,81,1.31,0.275,0.32,0.7,4.5,0.78,-0.67,-0.109,46,L,7+
